date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:10	3002/3002	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Sep%202022%2020:28:09%20GMT	http://127.0.0.1:8000/robots.txt		(from )
16:28:11	2273/2273	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:10%20GMT	http://127.0.0.1:8000/	flashcards/127.0.0.1_8000/index.html	(from )
16:28:11	1676/1676	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:11%20GMT	http://127.0.0.1:8000/box/1	flashcards/127.0.0.1_8000/box/1.html	(from http://127.0.0.1:8000/)
16:28:12	2609/2609	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:12%20GMT	http://127.0.0.1:8000/box/2	flashcards/127.0.0.1_8000/box/2.html	(from http://127.0.0.1:8000/)
16:28:13	1676/1676	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:13%20GMT	http://127.0.0.1:8000/box/3	flashcards/127.0.0.1_8000/box/3.html	(from http://127.0.0.1:8000/)
16:28:14	1676/1676	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:14%20GMT	http://127.0.0.1:8000/box/4	flashcards/127.0.0.1_8000/box/4.html	(from http://127.0.0.1:8000/)
16:28:15	2638/2638	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:15%20GMT	http://127.0.0.1:8000/box/5	flashcards/127.0.0.1_8000/box/5.html	(from http://127.0.0.1:8000/)
16:28:16	2433/2433	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:16%20GMT	http://127.0.0.1:8000/new	flashcards/127.0.0.1_8000/new.html	(from http://127.0.0.1:8000/)
16:28:17	2459/2459	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:17%20GMT	http://127.0.0.1:8000/edit/19	flashcards/127.0.0.1_8000/edit/19.html	(from http://127.0.0.1:8000/)
16:28:18	1972/1972	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:18%20GMT	http://127.0.0.1:8000/delete/19	flashcards/127.0.0.1_8000/delete/19.html	(from http://127.0.0.1:8000/)
16:28:19	2488/2488	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:19%20GMT	http://127.0.0.1:8000/edit/21	flashcards/127.0.0.1_8000/edit/21.html	(from http://127.0.0.1:8000/)
16:28:20	1972/1972	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2020:28:20%20GMT	http://127.0.0.1:8000/delete/21	flashcards/127.0.0.1_8000/delete/21.html	(from http://127.0.0.1:8000/)
